,track.19,track.7
2,Food,Hip-Hop
4,This World,Hip-Hop
5,Freeway,Pop
17,Queen Of The Wires,Folk
18,Ohio,Folk
24,Blackout 2,Experimental
57,Jules Lost His Jewels,Rock
63,Castle Of Stars,Folk
66,Here With You,Folk
67,All I want to Do,Folk
70,Piano 2,Folk
73,Baby Come Home,Folk
76,Song For R,Folk
77,My Dream,Folk
80,Piano 3,Folk
83,In the French Court,Folk
84,In America,Folk
85,When I Arive,Folk
86,Boute,Pop
101,We Want to be Old,Rock
102,Toggle,Rock
182,Vampires,Rock
218,The Ambient Honky,Experimental
248,Machines and Muscles,Rock
316,I Can See You,Folk
322,The Black Pirate,Folk
328,If You Have No One,Folk
353,Caliente Queen,Rock
372,Disappearing,Folk
385,"Immaterial, side A",Experimental
390,Arabesque,Folk
391,Blue Eyed Baby,Folk
395,Climbing To The Top,Folk
434,Heat,International
435,Sharpen The Knife,International
444,The Tension,Hip-Hop
458,Cataclysm,Rock
462,Planet Say (featuring Faust),Hip-Hop
463,Elephants,Hip-Hop
472,Mano De Dios,International
473,Tio Cocodrilo,International
474,Esto Es Califas,International
475,Cochabamba,International
476,Desconocido,International
477,Cumbia De Obama,International
481,Circle Moon,Folk
482,Kokopelli,Folk
483,Saxalainen,Folk
485,Song Of The Spindle Berry,Folk
540,Relaxing,Rock
570,Motion Passings,Folk
577,Sir,Pop
578,Tom & Jerry,Pop
581,Death March,Rock
607,Welsinsni Melodyi,International
641,Softly Tomorrow,Folk
643,Phantom Sky,Folk
648,2,Experimental
744,Or So I've Been Told,Rock
745,No Good Deed Goes Unpunished,Experimental
747,Nothing's Ever Ending,Experimental
748,Apparently,Experimental
784,13 Monsters,Rock
785,Dracula Mountain,Rock
805,Helicopter de Cristal,Experimental
808,Un Lagrima en la Discoteca,Experimental
812,Onda Tocadisco,Experimental
814,Painful Corazon,Experimental
821,Nam Nhi-tu,International
822,Feasting on Energy,Experimental
826,Tell The Police The Truth,Rock
841,Rare Vodka from the Fourteenth Century,Rock
922,Wooly Mammoth's Absence,Folk
924,With My Hands Out,Folk
925,2 Blonde Braids,Folk
926,My Burning,Folk
976,"""Cleanse Bath"" 10"" Metal Laquer",Experimental
986,Rolling In The Green,Experimental
997,Cocksuckerbastardmotherfucker,Rock
1003,Richard Nixon Died Today,Experimental
1004,No Business,Experimental
1005,Downloading,Experimental
1114,Guns of Thunder,Rock
1124,I Feel Evils,Rock
1139,Time Fist,Experimental
1151,Reindeer Dance,Electronic
1178,Zombie,Experimental
1212,Song of The Stations,Folk
1309,Hrz,Pop
1311,Outskirts,Pop
1314,Inis Meain,Pop
1320,Only Fools and Horses Theme,Pop
1322,So High,Pop
1325,She Fell Through the Trees,Pop
1332,Track 07,Experimental
1339,Bashraf Salama,International
1340,Daka Kozi Manowe,International
1341,Nie Zama Nie Sema,International
1342,Mapenzi Matamu,International
1343,Mahaba Wa Taka Nini,International
1344,Eni Wana Damu,International
1345,Rufiji,International
1346,"Lala, Mpenzi Lala",International
1347,Sishituki,International
1348,Unalo,International
1360,Clouds,Folk
1361,Java Pop,Folk
1362,Equus Haar,Folk
1363,Morning Song,Folk
1365,In the Pineys,Rock
1379,Harken Sunshine,Rock
1389,Black Jerusalem,Experimental
1390,Keinsein,Experimental
1392,Ghost Science,Experimental
1393,Soft Beast,Experimental
1510,I Do What I Do,Rock
1518,Kids In Cars,Rock
1520,Memories,Folk
1544,Calling For You,Folk
1545,Happy At The Wheel,Folk
1549,Buzz Chant,Experimental
1550,So Thereby...and furthermore...thus henceforth...Mono,Rock
1632,The White Mice,Experimental
1654,title unknown,Experimental
1655,My Sweet Miasma,Folk
1657,....like bacon sundays,Pop
1693,A Date,Folk
1694,Tee Te Te,Folk
1695,Lavender,Folk
1696,Land,Folk
1700,Song for Obol,Folk
1701,Beirut,Folk
1702,Seadrift,Folk
1703,Redbird,Folk
1704,Forewarned,Folk
1839,On The Wings,Rock
1861,Heaven Is Human,Pop
1862,New Spell,Pop
1863,Cosmic Sing-a-long,Pop
1864,No Coins,Pop
1866,We'll Never Dream Again,Pop
1867,Say You Will,Pop
1899,Piggled,Electronic
1921,Little Eyes,Folk
1943,Days of Summer,Rock
2013,Stable the Spuds,Folk
2014,Thicker Than A Smokey,Folk
2026,Walking on the Water,Rock
2027,Pow Wow,Rock
2028,Swans,Rock
2030,Temporary Famine Ship,Rock
2031,West Alabama,Rock
2063,Improv,Rock
2064,Snowy Parts of Scandinavia,Rock
2065,Shelley Winters Overdrive,Rock
2067,Waves of Second Guessing,Rock
2068,Rhode Island Freakout,Rock
2077,Cumbia Infierno,International
2078,La Canco de Lladre,International
2079,Volant,International
2080,Calor Calor,International
2081,Rock Rumba,International
